name,description,address,postcode,telephone,website
Mood Swings Network,Charity providing intense support to people with mood disorders and their friends and families.,"36 New Mount Street, Manchester",M4 4DE,0161 832 3736,http://www.moodswings.org.uk/
42nd Street,"Counselling, therapy and one-to one support for young people aged 13 to 25 years.","The Space, 87-91 Great Ancoats Street, Manchester",M4 5AG,0161 228 7321,http://42ndstreet.org.uk/
LGBT Foundation,"Provides a wide range of support services to lesbian, gay, bisexual and trans people.","5 Richmond Street, Manchester",M1 3HF,0345 330 3030,https://lgbt.foundation/
The Proud Trust,Helps young people empower themselves to make a positive change for themselves and their communities; youth groups and peer support.,"49 - 51 Sidney Street, Manchester",M1 7HB,0161 660 3347,https://www.theproudtrust.org/
African Caribbean Care Group,"Community Engagement Workers visit older adults, who may be vulnerable due to a long-term health condition, disability or isolation.","Claremont Resource Centre, Rolls Crescent, Hulme",M15 5FS,0161 226 6334,http://www.accg.org.uk/
LMCP Care Link,The organisation works with South Asian women with mental health needs.,"95A Princess Road, Manchester",M14 4TH,0161 226 4632,http://www.lmcpcarelink.co.uk/
Manchester Refugee Support Network,"Grass-roots organisation directly managed by refugee communities, based in Manchester.","129 Princess Road, Manchester",M14 4RB,0161 868 0777,http://mrsn.org.uk/
African and Caribbean Mental Health Services,Voluntary charitable organisation that was formed in October 1989 to provide support to African and African Caribbean people with mental health problems aged 16 and over and registered with a Manchester GP.,"Windrush Millennium Centre, Alexandra Road, Manchester",M16 7WD,0161 226 9562,http://www.manchestercommunitycentral.org/news/african-and-caribbean-mental-health-services
Relate Greater Manchester South,One to one counselling and relationship service.,"346 Chester Road, Manchester",M16 9EZ,0300 003 2331,https://www.relate.org.uk/
Talk Listen Change (TLC),"Counselling and support services for families, individuals and young people.","346 Chester Road, Manchester",M16 9EZ,0161 872 1100,http://talklistenchange.org.uk/
Black Health Agency,Offers a range of services for people suffering from health inequalities including mental health.,"609 Stretford Road, Old Trafford",M16 0QA,0845 450 4247,https://www.thebha.org.uk/
Old Trafford Wellbeing Centre,"blueSCI offer sessions from Wellbeing Practitioners and offer activities such as arts, crafts and music open to everyone in the community.","54-56 Seymour Grove, Old Trafford",M16 0LN,0161 912 4828,http://oldtraffordwellbeing.org.uk/
Trafford Domestic Abuse Service,Organisation offering support to both male and female victims of domestic abuse and their families.,"60 Talbot Road, Manchester",M16 0PN,0161 872 7368,http://www.tdas.org.uk/
Alchemy Arts,"Offers a range of activities including music sessions, mindfullness courses and confidence course.","Oakland House, Talbot Road, Stretford",M16 0PQ,0161 232 1617,http://www.alchemyarts.co.uk/
Voice of BME Trafford,Offers advice and signposting to the BME community.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 848 7018,http://www.voicebmet.co.uk/
Trafford Centre for Independent Living,"Provides services to residents in Trafford who have physical, sensory, learning or mental health impairments.","Oakland House, Talbot Road, Stretford",M16 0PQ,0161 850 0645,https://www.traffordcil.co.uk/
Trafford Mental Health Advocacy Service,Provides Independent Advocates for qualifiying patients detained under the Mental Health Act.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 877 4330,https://www.vcatrafford.org/TMHAS
CDI Community Counselling Service,Qualified counsellors can see people via referral from services or self referral; bilingual counselling for BME groups can be offered.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 881 0007,http://www.cdimanchester.org.uk/counselling.html
South Asian Disability Support Network,Network for South Asian families who are affected by disabilities.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 870 2322,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=Ld2fXVy0ZjM&localofferchannel=2_5
