period,area_code,area_name,geography,number_of_households
2021-03-21,E08000001,Bolton,Local authority,NA
2021-03-21,E08000002,Bury,Local authority,NA
2021-03-21,E08000003,Manchester,Local authority,NA
2021-03-21,E08000004,Oldham,Local authority,NA
2021-03-21,E08000005,Rochdale,Local authority,NA
2021-03-21,E08000006,Salford,Local authority,NA
2021-03-21,E08000007,Stockport,Local authority,NA
2021-03-21,E08000008,Tameside,Local authority,NA
2021-03-21,E08000009,Trafford,Local authority,NA
2021-03-21,E08000010,Wigan,Local authority,NA
