period,area_code,area_name,geography,number_of_residents,number_of_residents_per_square_kilometre
2021-03-21,E08000001,Bolton,Local authority,296000,2117
2021-03-21,E08000002,Bury,Local authority,193800,1949
2021-03-21,E08000003,Manchester,Local authority,552000,4773
2021-03-21,E08000004,Oldham,Local authority,242100,1701
2021-03-21,E08000005,Rochdale,Local authority,223800,1415
2021-03-21,E08000006,Salford,Local authority,269900,2777
2021-03-21,E08000007,Stockport,Local authority,294800,2339
2021-03-21,E08000008,Tameside,Local authority,231100,2240
2021-03-21,E08000009,Trafford,Local authority,235100,2217
2021-03-21,E08000010,Wigan,Local authority,329300,1750
