period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E02001259,Trafford 001,MSOA,Female,5474,1292,3721,461,73,73,90,76,96,76,79,91,82,81,83,80,91,87,72,62,68,72,73,60,65,63,74,98,86,87,74,87,94,100,99,110,119,114,107,99,103,124,101,89,84,73,77,61,76,69,59,73,63,62,90,72,64,86,73,59,56,47,59,50,39,51,38,38,36,22,19,26,19,20,20,25,14,16,17,18,14,17,20,20,20,14,20,13,25,11,10,8,11,13,29
2018-06-30,E02001259,Trafford 001,MSOA,Male,5460,1327,3737,396,93,95,68,71,84,74,92,79,85,77,97,105,77,87,56,87,51,72,85,57,49,69,66,79,88,98,100,95,93,100,88,102,91,93,81,98,102,105,87,102,87,115,87,69,85,80,78,70,65,77,67,66,79,66,62,90,50,61,47,53,43,53,49,48,39,33,22,26,17,18,19,21,15,14,15,12,12,14,23,13,21,12,16,13,14,9,8,6,5,5,13
2018-06-30,E02001260,Trafford 002,MSOA,Female,3918,728,2401,789,37,34,48,36,47,49,47,46,43,50,63,54,50,48,36,40,40,56,49,28,30,24,37,35,35,34,40,37,31,43,44,45,48,44,41,56,36,65,42,61,51,49,54,54,60,65,56,67,64,71,74,58,55,32,57,70,47,60,75,54,73,40,45,39,30,38,30,34,52,53,54,51,44,45,49,34,39,21,27,25,24,27,24,18,17,10,7,12,11,8,35
2018-06-30,E02001260,Trafford 002,MSOA,Male,3732,782,2244,706,32,37,49,43,49,58,48,53,53,48,48,51,57,52,61,43,48,36,55,33,38,25,41,37,48,39,35,38,26,41,33,31,40,31,40,46,48,42,43,53,44,46,44,51,50,59,58,59,48,69,57,61,55,52,57,45,56,49,48,54,55,42,58,43,37,41,35,32,40,49,58,54,35,31,30,39,32,12,36,16,27,15,29,22,17,8,10,5,3,9,21
2018-06-30,E02001261,Trafford 003,MSOA,Female,4267,971,2826,470,51,60,58,51,65,53,74,69,79,58,70,64,55,62,50,52,45,43,46,31,36,39,49,50,48,54,76,72,73,87,64,52,67,75,100,85,94,87,68,83,66,60,57,58,59,59,64,60,58,60,63,57,67,50,59,61,68,45,43,34,31,26,36,28,33,35,23,32,21,24,34,18,15,21,16,17,18,18,16,22,21,14,16,19,10,7,11,8,7,8,19
2018-06-30,E02001261,Trafford 003,MSOA,Male,4261,1051,2817,393,57,61,58,94,65,64,69,66,57,64,76,78,72,61,47,62,55,34,58,46,46,51,44,58,49,57,55,77,56,62,83,70,62,79,80,69,73,75,67,76,49,72,57,61,66,57,85,63,58,72,53,52,63,54,43,63,58,43,50,51,45,38,26,30,26,32,32,26,33,24,29,25,16,21,16,18,10,14,15,9,11,13,7,7,10,4,2,5,1,4,9
2018-06-30,E02001262,Trafford 004,MSOA,Female,4391,932,2846,613,53,54,52,49,62,54,48,65,53,57,72,53,68,60,70,62,76,66,55,59,26,59,68,63,47,56,52,40,50,61,56,64,49,62,65,53,77,87,56,69,60,74,59,55,49,64,63,66,69,71,63,58,66,64,74,58,59,62,58,36,51,54,36,37,24,28,30,32,33,22,21,27,23,24,31,30,21,22,29,23,22,19,25,24,17,14,14,18,12,11,41
2018-06-30,E02001262,Trafford 004,MSOA,Male,4241,926,2820,495,67,47,50,54,52,59,56,81,57,68,50,64,51,57,52,61,56,61,60,54,55,58,66,61,78,59,66,63,54,58,78,61,82,57,53,52,47,58,59,57,59,53,55,49,46,66,57,70,59,53,60,48,65,56,60,70,61,57,52,47,42,46,47,42,47,29,33,33,18,33,32,16,15,22,17,15,16,16,17,19,13,12,16,16,9,23,20,19,11,7,18
2018-06-30,E02001263,Trafford 005,MSOA,Female,4241,707,2511,1023,25,52,49,31,40,46,41,62,42,59,34,54,44,42,50,36,56,43,50,31,21,29,41,37,34,32,29,36,42,31,25,30,42,58,40,38,45,45,58,56,48,55,73,60,48,71,59,65,60,57,66,72,77,68,88,85,68,68,59,48,52,56,53,61,45,40,50,53,51,48,53,67,59,52,39,50,31,26,33,41,38,35,41,35,29,21,19,18,18,9,67
2018-06-30,E02001263,Trafford 005,MSOA,Male,4083,849,2396,838,39,41,63,44,62,46,63,56,68,53,51,49,47,59,53,55,48,51,48,34,28,49,34,52,38,41,36,42,31,29,52,38,47,44,36,41,41,40,52,48,39,52,48,46,59,54,58,52,54,61,63,60,55,56,67,87,62,73,50,50,53,55,52,44,46,41,51,46,43,58,47,60,36,40,44,45,39,25,27,35,36,26,24,21,18,15,12,10,11,8,20
