period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2019-06-30,E01006091,Trafford 019A,LSOA,Females,1476,361,998,117,14,21,24,23,22,22,22,23,29,17,28,28,19,20,30,19,12,14,9,8,9,10,13,6,21,14,12,15,26,18,18,25,20,24,50,27,33,39,30,32,44,38,23,35,30,15,21,25,24,27,18,14,20,19,18,16,14,19,10,11,16,23,11,13,9,9,11,9,2,14,7,6,3,4,5,11,6,5,3,5,1,3,2,3,1,0,1,0,0,0,6
2019-06-30,E01006091,Trafford 019A,LSOA,Males,1378,401,866,111,22,21,17,24,23,31,25,32,30,25,25,27,26,33,21,19,19,21,7,8,12,11,12,6,18,19,15,20,18,16,14,19,26,26,26,23,23,18,25,16,25,30,21,25,30,24,22,18,14,21,26,18,23,16,16,22,15,10,10,9,11,10,12,10,10,7,4,12,5,8,5,12,10,4,5,6,3,4,4,5,3,6,3,0,0,2,0,0,0,0,3
2019-06-30,E01006091,Trafford 019A,LSOA,Persons,2854,762,1864,228,36,42,41,47,45,53,47,55,59,42,53,55,45,53,51,38,31,35,16,16,21,21,25,12,39,33,27,35,44,34,32,44,46,50,76,50,56,57,55,48,69,68,44,60,60,39,43,43,38,48,44,32,43,35,34,38,29,29,20,20,27,33,23,23,19,16,15,21,7,22,12,18,13,8,10,17,9,9,7,10,4,9,5,3,1,2,1,0,0,0,9
2019-06-30,E01006092,Trafford 019B,LSOA,Females,756,181,493,82,11,13,6,11,9,13,9,14,9,12,16,10,11,18,9,10,6,9,8,7,7,18,8,8,10,12,11,7,14,7,12,9,11,12,12,14,13,9,11,10,14,10,7,17,14,13,8,5,12,11,10,13,11,15,12,8,12,7,6,7,6,6,8,6,10,10,3,4,5,7,6,2,7,9,1,3,5,3,3,4,1,0,2,0,0,0,0,1,2,0,4
2019-06-30,E01006092,Trafford 019B,LSOA,Males,636,201,385,50,7,17,15,15,11,8,12,13,9,10,15,20,17,12,11,9,9,5,10,5,5,5,6,10,11,11,9,13,11,11,11,10,10,15,11,17,9,15,22,9,3,4,6,5,3,8,9,8,7,7,13,5,6,4,5,5,6,5,1,4,3,4,5,5,4,6,6,0,5,3,2,2,6,2,3,3,2,1,1,1,2,1,2,0,0,1,0,0,0,0,1
2019-06-30,E01006092,Trafford 019B,LSOA,Persons,1392,382,878,132,18,30,21,26,20,21,21,27,18,22,31,30,28,30,20,19,15,14,18,12,12,23,14,18,21,23,20,20,25,18,23,19,21,27,23,31,22,24,33,19,17,14,13,22,17,21,17,13,19,18,23,18,17,19,17,13,18,12,7,11,9,10,13,11,14,16,9,4,10,10,8,4,13,11,4,6,7,4,4,5,3,1,4,0,0,1,0,1,2,0,5
2019-06-30,E01006095,Trafford 019C,LSOA,Females,900,195,550,155,9,16,19,17,11,7,12,12,8,12,12,12,10,11,13,14,12,13,8,7,3,4,10,2,2,5,7,3,7,9,11,7,10,15,14,14,13,18,13,13,18,14,12,16,17,18,17,17,20,15,7,12,11,10,13,15,9,13,10,7,13,9,10,15,12,10,7,5,8,8,15,16,14,7,8,8,4,5,3,5,6,4,1,6,4,1,1,1,1,0,7
2019-06-30,E01006095,Trafford 019C,LSOA,Males,931,205,594,132,7,10,9,14,19,9,10,11,17,19,18,18,9,15,9,11,8,17,13,10,9,11,8,4,9,5,9,7,9,8,13,13,19,9,10,13,17,12,12,18,10,13,12,14,11,21,19,8,22,18,15,17,15,12,13,13,16,16,8,9,13,13,7,9,7,3,10,5,4,6,12,11,8,5,7,5,5,7,7,5,2,9,8,4,0,0,5,3,0,0,1
2019-06-30,E01006095,Trafford 019C,LSOA,Persons,1831,400,1144,287,16,26,28,31,30,16,22,23,25,31,30,30,19,26,22,25,20,30,21,17,12,15,18,6,11,10,16,10,16,17,24,20,29,24,24,27,30,30,25,31,28,27,24,30,28,39,36,25,42,33,22,29,26,22,26,28,25,29,18,16,26,22,17,24,19,13,17,10,12,14,27,27,22,12,15,13,9,12,10,10,8,13,9,10,4,1,6,4,1,0,8
2019-06-30,E01006097,Trafford 015A,LSOA,Females,928,153,543,232,3,5,5,7,9,10,11,10,17,16,9,13,14,4,10,10,7,4,8,2,5,7,10,14,7,16,13,20,10,10,12,15,11,13,15,10,6,11,15,12,18,24,23,12,18,8,12,10,9,10,6,12,11,12,9,6,13,12,6,11,14,12,10,7,5,5,8,8,9,11,5,8,9,11,12,12,11,7,10,10,11,7,9,7,8,7,6,6,8,9,18
