period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2019-06-30,E00030771,E00030771,OA,Females,187,46,120,21,3,1,1,3,1,6,4,3,5,3,3,0,6,2,2,3,1,2,0,1,1,0,4,1,2,7,1,4,0,0,1,1,2,3,0,3,0,4,2,2,2,2,1,3,3,4,3,4,3,1,5,5,3,4,1,4,8,3,2,3,1,3,5,4,1,0,0,1,1,0,2,3,0,3,0,0,0,3,1,2,0,2,0,1,0,0,0,1,0,0,1
2019-06-30,E00030771,E00030771,OA,Males,196,43,122,31,1,2,2,1,1,6,1,4,3,2,4,4,3,4,3,2,2,4,4,0,3,0,2,2,0,3,2,1,2,0,2,2,3,3,3,4,1,2,4,5,1,0,1,2,3,4,2,1,3,3,5,1,1,4,4,5,3,6,2,4,0,3,5,3,2,2,1,5,0,1,3,5,2,1,1,1,0,0,1,1,0,0,1,0,2,1,0,0,0,1,2
2019-06-30,E00030771,E00030771,OA,Persons,383,89,242,52,4,3,3,4,2,12,5,7,8,5,7,4,9,6,5,5,3,6,4,1,4,0,6,3,2,10,3,5,2,0,3,3,5,6,3,7,1,6,6,7,3,2,2,5,6,8,5,5,6,4,10,6,4,8,5,9,11,9,4,7,1,6,10,7,3,2,1,6,1,1,5,8,2,4,1,1,0,3,2,3,0,2,1,1,2,1,0,1,0,1,3
2019-06-30,E00030772,E00030772,OA,Females,160,41,104,15,3,1,2,0,3,2,4,5,3,3,3,5,4,1,1,1,2,1,0,0,0,1,0,1,1,1,3,0,1,0,6,4,4,7,3,3,4,2,3,4,3,3,3,1,6,2,3,4,1,3,0,4,1,2,4,0,0,1,1,2,3,1,1,0,4,1,0,1,1,0,0,0,0,0,0,3,0,1,4,0,1,0,0,0,1,0,2,0,0,0,0
2019-06-30,E00030772,E00030772,OA,Males,141,40,87,14,5,1,2,1,2,2,7,2,3,6,2,1,1,2,1,2,2,1,0,1,2,0,0,3,1,0,2,1,3,0,3,1,5,2,4,5,4,3,5,1,3,5,1,2,1,2,0,2,2,1,2,2,1,1,2,0,4,2,2,0,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,1,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0
2019-06-30,E00030772,E00030772,OA,Persons,301,81,191,29,8,2,4,1,5,4,11,7,6,9,5,6,5,3,2,3,4,2,0,1,2,1,0,4,2,1,5,1,4,0,9,5,9,9,7,8,8,5,8,5,6,8,4,3,7,4,3,6,3,4,2,6,2,3,6,0,4,3,3,2,3,2,2,1,4,2,0,3,3,0,0,0,0,0,0,4,0,3,5,1,1,1,1,1,2,0,2,0,0,0,0
2019-06-30,E00030773,E00030773,OA,Females,144,31,70,43,3,0,3,1,0,1,0,5,3,3,1,0,1,5,2,3,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,2,1,1,3,0,0,1,2,1,0,1,2,4,2,5,4,3,1,1,3,2,4,1,0,0,1,2,1,1,3,4,3,1,2,1,2,0,1,1,0,2,0,1,3,3,1,1,0,2,1,3,2,0,2,2,1,0,3,1,10
2019-06-30,E00030773,E00030773,OA,Males,132,26,71,35,1,1,0,0,1,3,2,3,1,3,1,4,2,1,1,2,2,2,0,1,1,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,1,0,1,1,2,1,2,4,3,5,3,1,1,1,1,3,4,1,2,1,0,0,3,2,1,0,3,4,0,1,1,4,2,0,1,2,1,1,2,4,1,1,3,0,1,3,0,1,1,1,3,0,0,0,1
2019-06-30,E00030773,E00030773,OA,Persons,276,57,141,78,4,1,3,1,1,4,2,8,4,6,2,4,3,6,3,5,3,3,2,2,2,1,0,0,2,2,1,3,1,1,1,4,2,1,3,1,1,1,3,2,2,2,4,8,5,10,7,4,2,2,4,5,8,2,2,1,1,2,4,3,4,4,6,5,2,2,3,4,3,1,1,4,1,2,5,7,2,2,3,2,2,6,2,1,3,3,4,0,3,1,11
2019-06-30,E00030774,E00030774,OA,Females,135,26,103,6,2,0,2,0,2,1,2,1,1,1,2,2,3,1,3,3,2,1,0,1,0,2,0,1,2,3,3,5,4,3,3,2,4,3,2,5,5,2,5,3,4,3,2,1,3,2,1,3,4,0,2,1,1,3,0,1,2,1,2,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
