period,area_code,area_name,geography,sex,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
2022-06-30,E00030771,E00030771,OA,Females,180,43,115,22,2,4,3,2,2,1,4,0,5,4,3,1,5,1,1,5,0,2,2,0,2,0,1,1,0,6,1,2,6,3,5,1,0,2,1,3,4,0,5,3,3,5,1,2,1,0,3,2,4,3,2,2,1,2,3,2,2,1,4,7,3,3,3,3,3,3,3,0,0,0,0,1,0,2,3,0,3,0,0,1,2,1,1,0,1,0,0,0,0,0,1
2022-06-30,E00030771,E00030771,OA,Males,177,47,105,25,1,3,2,4,4,3,2,1,4,1,5,4,2,4,5,2,4,3,2,1,1,1,1,3,0,3,1,0,1,1,1,2,0,1,2,6,2,3,3,1,3,5,3,2,0,2,3,2,4,2,1,2,3,4,0,2,2,2,4,2,4,1,5,1,3,3,1,1,1,1,4,0,1,2,2,1,1,1,2,0,0,1,1,0,0,1,0,1,0,0,0
2022-06-30,E00030771,E00030771,OA,Persons,357,90,220,47,3,7,5,6,6,4,6,1,9,5,8,5,7,5,6,7,4,5,4,1,3,1,2,4,0,9,2,2,7,4,6,3,0,3,3,9,6,3,8,4,6,10,4,4,1,2,6,4,8,5,3,4,4,6,3,4,4,3,8,9,7,4,8,4,6,6,4,1,1,1,4,1,1,4,5,1,4,1,2,1,2,2,2,0,1,1,0,1,0,0,1
2022-06-30,E00030772,E00030772,OA,Females,156,42,102,12,5,4,1,4,0,3,3,2,1,3,4,3,3,1,2,3,1,0,1,1,1,0,0,0,0,0,1,0,4,4,2,3,4,5,5,3,4,3,2,2,2,3,5,2,3,2,1,5,2,3,4,0,4,0,3,1,2,3,2,0,1,1,3,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0
2022-06-30,E00030772,E00030772,OA,Males,139,35,90,14,3,3,1,3,1,0,2,1,2,6,0,4,6,1,0,2,1,1,2,1,1,0,0,0,0,0,3,1,3,2,1,2,0,5,2,6,2,4,6,2,2,5,2,3,5,1,2,2,2,0,2,2,2,3,2,2,1,0,0,2,1,2,1,0,1,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,1,2,1,0,2,0,1,0,0,0,0
2022-06-30,E00030772,E00030772,OA,Persons,295,77,192,26,8,7,2,7,1,3,5,3,3,9,4,7,9,2,2,5,2,1,3,2,2,0,0,0,0,0,4,1,7,6,3,5,4,10,7,9,6,7,8,4,4,8,7,5,8,3,3,7,4,3,6,2,6,3,5,3,3,3,2,2,2,3,4,2,3,1,1,1,1,1,3,3,0,0,0,1,0,0,1,0,2,6,1,0,2,0,1,1,0,0,0
2022-06-30,E00030773,E00030773,OA,Females,144,38,64,42,0,6,0,3,0,2,0,0,3,0,9,4,4,2,1,4,3,1,1,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,2,1,0,1,1,1,1,2,0,1,1,2,3,3,5,2,2,3,0,3,1,5,1,0,0,0,2,1,1,2,2,3,0,2,0,2,0,1,2,0,3,1,2,3,3,0,2,1,2,0,2,1,0,1,2,1,8
2022-06-30,E00030773,E00030773,OA,Males,137,20,76,41,2,1,0,2,0,1,1,0,3,1,2,3,1,1,2,0,0,1,3,1,1,0,1,1,1,0,1,0,2,1,3,2,0,2,1,1,0,2,0,2,0,1,1,2,1,2,5,2,8,6,3,1,1,1,2,2,1,2,0,3,0,2,2,2,0,3,3,0,2,1,3,1,1,1,3,1,1,2,2,1,3,3,0,0,3,1,3,2,1,0,0
2022-06-30,E00030773,E00030773,OA,Persons,281,58,140,83,2,7,0,5,0,3,1,0,6,1,11,7,5,3,3,4,3,2,4,2,1,0,2,3,2,1,2,0,3,2,4,2,0,2,3,2,0,3,1,3,1,3,1,3,2,4,8,5,13,8,5,4,1,4,3,7,2,2,0,3,2,3,3,4,2,6,3,2,2,3,3,2,3,1,6,2,3,5,5,1,5,4,2,0,5,2,3,3,3,1,8
2022-06-30,E00030774,E00030774,OA,Females,148,35,104,9,6,2,3,1,0,2,1,1,1,4,1,4,1,2,3,3,0,2,3,1,2,2,2,1,2,1,1,5,3,6,4,4,2,3,2,2,3,1,4,4,3,3,5,4,1,2,1,4,1,0,3,3,1,1,0,3,2,0,0,2,1,2,0,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2022-06-30,E00030774,E00030774,OA,Males,142,24,109,9,0,1,1,0,2,1,3,1,0,3,2,4,0,6,0,0,1,3,0,0,1,0,3,0,1,4,1,3,2,3,5,6,2,3,6,2,3,3,2,2,6,2,3,4,3,2,1,2,1,4,2,0,0,3,3,1,3,4,1,0,2,3,2,1,0,0,1,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
