name,type,address,postcode,telephone,area_name,area_code,lon,lat
Atherton Probation Office,CRC,"81 Gloucester Street, Atherton",M46 0JS,01442 296008,Wigan,E08000010,-2.499328,53.525751
Bolton Probation Office,CRC,"Ground Floor, Nautica House, Waters’ Meeting Road, Bolton",BL1 8SW,01442 296009,Bolton,E08000001,-2.42821,53.596469
City Centre (Intensive Community Order Office),CRC,"52 Oldham Street, Manchester",M4 1LE,0161 2287654,Manchester,E08000003,-2.234017,53.483394
Manchester Probation Office,CRC,"12 Minshull Street, Manchester",M1 3FR,01442 296011,Manchester,E08000003,-2.235269,53.478268
Oldham Probation Office,CRC,"Unit 1, Cromwell Court, Brunswick Street",OL1 1ET,01442 296017,Oldham,E08000004,-2.114666,53.539223
Rochdale Probation Office,CRC,"20 Chichester Business Park, Chichester Street, Rochdale",OL16 2AU,01442 296019,Rochdale,E08000005,-2.144078,53.615367
Salford Probation Office,CRC,"2 Redwood Street, Pendleton, Salford",M6 6PF,01442 296015,Salford,E08000006,-2.286946,53.493443
Stockport Probation Office,CRC,"Cirtek House, Unit 2b, Higher Hillgate, Stockport",SK1 3QD,01442 296018,Stockport,E08000007,-2.154788,53.402222
Trafford Probation Office,CRC,"Newton Street, Stretford, Trafford",M32 8LG,01442 296013,Trafford,E08000009,-2.307093,53.444397
Tameside Probation Office,CRC,"Ashton Office, Birchcroft, Crowthorne Road, Ashton-under-lyne",OL7 0DH,01613 594229,Tameside,E08000008,-2.113894,53.481394
Wigan Spotlight,CRC,"Coops Business Centre, 11 Dorning Street, Wigan",WN1 1HR,01942 828021,Wigan,E08000010,-2.635587,53.545994
North West Divisional Office,NPS,"5th floor, Oakland House, Talbot Road, Manchester",M16 0PQ,0300 0479000,Manchester,E08000003,-2.283606,53.460186
