AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,long,lat
201506A000079,2015-04-19,Apr,Sun,6,Powered 2 Wheeler,Slight,Daylight,Male,35-39,Manchester,-2.241252,53.489087
201506A000115,2015-04-10,Apr,Fri,14,Car,Slight,Daylight,Female,20-24,Manchester,-2.219101,53.518971
201506A000115,2015-04-10,Apr,Fri,14,Car,Slight,Daylight,Male,20-24,Manchester,-2.219101,53.518971
201506A000115,2015-04-10,Apr,Fri,14,Car,Slight,Daylight,Female,40-44,Manchester,-2.219101,53.518971
201506A000187,2015-04-15,Apr,Wed,16,Pedal Cycle,Slight,Daylight,Male,35-39,Manchester,-2.206151,53.492119
201506A000215,2015-04-22,Apr,Wed,8,Powered 2 Wheeler,Slight,Daylight,Male,40-44,Manchester,-2.21561,53.484912
201506A000223,2015-04-09,Apr,Thu,11,Bus or Coach,Slight,Daylight,Female,30-34,Manchester,-2.236688,53.481366
201506A000311,2015-04-14,Apr,Tue,17,Pedal Cycle,Slight,Daylight,Male,45-49,Manchester,-2.171106,53.473029
201506A000351,2015-04-18,Apr,Sat,16,Pedestrian,Slight,Daylight,Male,0-4,Manchester,-2.233241,53.484879
201506A000365,2015-04-19,Apr,Sun,13,Car,Slight,Daylight,Male,45-49,Manchester,-2.197875,53.462741
201506A000422,2015-04-20,Apr,Mon,7,Car,Slight,Daylight,Female,75-79,Manchester,-2.235618,53.478582
201506A000437,2015-04-02,Apr,Thu,20,Car,Slight,Dark,Male,40-44,Manchester,-2.15393,53.472693
201506A000437,2015-04-02,Apr,Thu,20,Car,Slight,Dark,Male,35-39,Manchester,-2.15393,53.472693
201506A000470,2015-04-17,Apr,Fri,17,Car,Slight,Daylight,Male,45-49,Manchester,-2.215141,53.511249
201506A000562,2015-04-14,Apr,Tue,17,Powered 2 Wheeler,Serious,Daylight,Male,15-19,Manchester,-2.190694,53.507245
201506A000581,2015-04-27,Apr,Mon,13,Car,Slight,Daylight,Female,45-49,Manchester,-2.167785,53.471236
201506A000581,2015-04-27,Apr,Mon,13,Car,Slight,Daylight,Male,10-14,Manchester,-2.167785,53.471236
201506A000607,2015-04-28,Apr,Tue,17,Pedestrian,Slight,Daylight,Female,15-19,Manchester,-2.234759,53.486763
201506A000613,2015-04-23,Apr,Thu,20,Car,Slight,Daylight,Male,0-4,Manchester,-2.178902,53.499624
201506A000655,2015-04-23,Apr,Thu,17,Pedestrian,Slight,Daylight,Female,35-39,Manchester,-2.241385,53.485941
201506A000672,2015-04-27,Apr,Mon,15,Powered 2 Wheeler,Slight,Daylight,Male,25-29,Manchester,-2.18995,53.509314
201506A000717,2015-04-30,Apr,Thu,10,Powered 2 Wheeler,Serious,Daylight,Male,10-14,Manchester,-2.200663,53.511004
201506A000717,2015-04-30,Apr,Thu,10,Powered 2 Wheeler,Slight,Daylight,Male,10-14,Manchester,-2.200663,53.511004
201506A000767,2015-04-25,Apr,Sat,17,Pedestrian,Serious,Daylight,Male,0-4,Manchester,-2.200656,53.509476
