AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,text,easting,northing,lng,lat
100256292017,2017-01-01,Jan,Sun,13,Pedal Cycle,Slight,Daylight,Male,26-35,Bolton,At 13:30 on Sunday 01 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,367197,406191,-2.496579969268737,53.55131681503497
100257852017,2017-01-06,Jan,Fri,19,Pedestrian,Slight,Dark,Male,36-45,Bolton,At 19:07 on Friday 06 January 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,372042,407089,-2.423535456943351,53.55966951239891
100257872017,2017-01-06,Jan,Fri,17,Car,Slight,Dark,Male,16-20,Bolton,At 17:10 on Friday 06 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370876,408010,-2.4412234425537065,53.56788384191968
100258932017,2017-01-13,Jan,Fri,7,Car,Slight,Dark,Female,46-55,Bolton,At 07:50 on Friday 13 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,367690,409296,-2.4894614870054066,53.579255164698154
100259022017,2017-01-18,Jan,Wed,17,Car,Slight,Dark,Female,56-65,Bolton,At 17:10 on Wednesday 18 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,363969,408876,-2.5456097750799693,53.57523702925689
100259292017,2017-01-16,Jan,Mon,10,Car,Slight,Daylight,Male,36-45,Bolton,At 10:20 on Monday 16 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370886,408088,-2.4410797534781925,53.5685854657946
100259372017,2017-01-16,Jan,Mon,10,Taxi,Slight,Dark,Male,36-45,Bolton,At 10:10 on Monday 16 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370951,408163,-2.440105318080932,53.56926318519651
100259692017,2017-01-16,Jan,Mon,11,Car,Slight,Daylight,Female,26-35,Bolton,At 11:48 on Monday 16 January 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,371323,411677,-2.434812615017444,53.60086762330262
100260092017,2017-01-20,Jan,Fri,18,Pedestrian,Slight,Dark,Female,46-55,Bolton,At 18:10 on Friday 20 January 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,374945,409707,-2.379922840636182,53.58334759210011
100260122017,2017-01-23,Jan,Mon,15,Pedestrian,Slight,Daylight,Female,66-75,Bolton,At 15:15 on Monday 23 January 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,372800,410588,-2.412398858097236,53.59115872119436
