name,local_authority_code,establishment_number,unique_reference_number,type,gender,lowest_admission_age,highest_admission_age,capacity,resource_provision,religion,trust_type,sponsoring_trust,percent_fsm,ofsted_rating,website,postcode,lon,lat
St John Vianney School,358,7503,106167,Special schools,Mixed,5,19,160,NA,Does not apply,Not applicable,NA,41.3,Good,www.stjohnvianneyschool.co.uk,M16 0EX,-2.278292152005369,53.45146177422409
Navigation Primary School,358,2000,106283,Local authority maintained schools,Mixed,3,11,420,NA,Does not apply,Not applicable,NA,6.4,Good,www.navigationprimary.com,WA14 1NG,-2.348176824998722,53.39631330758996
Oldfield Brow Primary School,358,2002,106284,Local authority maintained schools,Mixed,3,11,450,NA,Does not apply,Not applicable,NA,13.9,Good,www.oldfield-brow.com,WA14 4LE,-2.3768918331266735,53.391938490479475
Stamford Park Primary School,358,2003,106285,Local authority maintained schools,Mixed,3,11,490,Not applicable,Does not apply,Not applicable,NA,11.5,Good,www.spprimary.org.uk,WA15 9JB,-2.3398237662389336,53.3822702017949
Heyes Lane Primary School,358,2006,106288,Local authority maintained schools,Mixed,3,11,630,NA,Does not apply,Not applicable,NA,16,Good,www.heyeslane.co.uk,WA15 6BZ,-2.324264812373625,53.40609736247714
Broadheath Primary School,358,2007,106289,Local authority maintained schools,Mixed,3,11,NA,Not applicable,Does not apply,Not applicable,NA,16.4,Good,broadheathprimaryschool.com,WA14 5JQ,-2.359975587890383,53.4044489395868
Broomwood Primary School,358,2008,106290,Local authority maintained schools,Mixed,2,11,504,NA,Does not apply,Not applicable,NA,36.8,Good,http://www.broomwoodprimary.co.uk/,WA15 7JU,-2.3091948363587917,53.391872462184246
Well Green Primary School,358,2011,106293,Local authority maintained schools,Mixed,3,11,218,NA,Does not apply,Not applicable,NA,7.5,Good,http://www.wellgreenprimary.co.uk,WA15 8QA,-2.316594825670867,53.37591622954982
Willows Primary School,358,2012,106294,Local authority maintained schools,Mixed,3,11,359,NA,Does not apply,Not applicable,NA,3.3,Good,www.willowstimperley.co.uk,WA15 6PP,-2.330915069923288,53.39663208859675
Cloverlea Primary School,358,2013,106295,Local authority maintained schools,Mixed,3,11,210,NA,Does not apply,Not applicable,NA,5.4,Requires improvement,www.cloverlea.org.uk/,WA15 7NQ,-2.3198327629072435,53.39077477331819
Springfield Primary School,358,2019,106298,Local authority maintained schools,Mixed,3,11,682,NA,Does not apply,Not applicable,NA,7.1,Outstanding,www.springfieldprimarysale.co.uk/,M33 7XS,-2.3204281395203856,53.423968025024344
Woodheys Primary School,358,2021,106299,Local authority maintained schools,Mixed,3,11,480,NA,Does not apply,Not applicable,NA,8.1,Good,www.woodheysprimaryschool.co.uk,M33 4PG,-2.345596962514379,53.41383958227008
Worthington Primary School,358,2022,106300,Local authority maintained schools,Mixed,3,11,420,Not applicable,Does not apply,Not applicable,NA,15.9,Good,www.worthington-primary.trafford.sch.uk/,M33 2JJ,-2.29459668474178,53.420547025353535
Brooklands Primary School,358,2023,106301,Local authority maintained schools,Mixed,3,11,664,NA,Does not apply,Not applicable,NA,3.2,Good,www.brooklands.trafford.sch.uk/,M33 3SY,-2.3257337013996184,53.41328422907354
Firs Primary School,358,2025,106303,Local authority maintained schools,Mixed,3,11,590,SEN unit,Does not apply,Not applicable,NA,37.6,Outstanding,www.firsprimary.co.uk,M33 5EL,-2.3522759882168462,53.42283559771597
Wellfield Junior School,358,2026,106304,Local authority maintained schools,Mixed,7,11,240,SEN unit,Does not apply,Not applicable,NA,12.5,Good,www.wellfieldjunior.co.uk/,M33 5QX,-2.336954725293151,53.43012461708697
Moorlands Junior School,358,2033,106308,Local authority maintained schools,Mixed,7,11,370,Resourced provision and SEN unit,Does not apply,Not applicable,NA,7.7,Good,www.moorlandsjuniorschool.com,M33 2LP,-2.301620501646826,53.42434961677568
Templemoor Infant and Nursery School,358,2037,106312,Local authority maintained schools,Mixed,3,7,210,NA,Does not apply,Not applicable,NA,9.6,Good,templemoorinfants.co.uk,M33 2EG,-2.3032028664922923,53.422556884043054
Wellfield Infant and Nursery School,358,2039,106313,Local authority maintained schools,Mixed,3,7,180,SEN unit,Does not apply,Not applicable,NA,7.9,Outstanding,http://www.wellfieldinfants.com,M33 5QW,-2.3390240546477084,53.4291659702574
Urmston Primary School,358,2041,106315,Local authority maintained schools,Mixed,3,11,516,NA,Does not apply,Not applicable,NA,6.7,Good,www.urmstonprimary.com,M41 5AH,-2.3594878976276683,53.45004042068477
Davyhulme Primary School,358,2042,106316,Local authority maintained schools,Mixed,3,11,542,Not applicable,Does not apply,Not applicable,NA,7.4,Outstanding,www.davyhulmeprimary.com/,M41 0RX,-2.351148328483297,53.45396626118588
Flixton Primary School,358,2044,106318,Local authority maintained schools,Mixed,4,11,428,NA,Does not apply,Not applicable,NA,2.2,Good,www.flixtonprimaryschool.org.uk,M41 5QL,-2.378581498562475,53.45011623135482
Gorse Hill Primary School,358,2047,106321,Local authority maintained schools,Mixed,3,11,343,NA,Does not apply,Not applicable,NA,40.1,Good,www.gorsehill.trafford.sch.uk/,M32 0PF,-2.298729899899362,53.4563290929208
Kings Road Primary School,358,2049,106322,Local authority maintained schools,Mixed,3,11,744,NA,Does not apply,Not applicable,NA,28.6,Good,www.kingsroadschool.com,M16 0GR,-2.2799230297329807,53.454451133960816
Moss Park Primary School,358,2050,106323,Local authority maintained schools,Mixed,4,11,436,NA,Does not apply,Not applicable,NA,21.3,Outstanding,https://www.mossparkprimary.co.uk,M32 9HR,-2.321137265930017,53.448154288680385
Seymour Park Community Primary School,358,2052,106325,Local authority maintained schools,Mixed,3,11,560,NA,Does not apply,Not applicable,NA,25.6,Outstanding,http://www.seymourpark.com,M16 9QE,-2.2723583153951075,53.458360654479975
Victoria Park Junior School,358,2056,106327,Local authority maintained schools,Mixed,7,11,240,NA,Does not apply,Not applicable,NA,25.9,Good,www.victoriaparkschool.co.uk,M32 0XZ,-2.3042317154800465,53.45071535552262
Victoria Park Infant School,358,2057,106328,Local authority maintained schools,Mixed,5,7,232,NA,Does not apply,Not applicable,NA,14.6,Good,www.victoriaparkinfant.org,M32 8BU,-2.3081832925114183,53.44952772350173
Highfield Primary School,358,2058,106329,Local authority maintained schools,Mixed,3,11,332,Not applicable,Does not apply,Not applicable,NA,16.2,Good,www.highfield-primary.trafford.sch.uk,M41 9PA,-2.3387985360713746,53.4481054726096
Woodhouse Primary School,358,2061,106332,Local authority maintained schools,Mixed,3,11,210,Not applicable,Does not apply,Not applicable,NA,7.8,Good,www.woodhouseprimaryschool.co.uk,M41 7WW,-2.3713634422661625,53.45811172657782
Kingsway Primary School,358,2063,106334,Local authority maintained schools,Mixed,3,11,216,Not applicable,Does not apply,Not applicable,NA,33.5,Good,www.kingswayprimary.co.uk,M41 0SP,-2.3413158541179415,53.457841860983
St Matthew's CofE Primary School,358,3005,106337,Local authority maintained schools,Mixed,3,11,235,NA,Church of England,Not applicable,NA,30.2,Good,www.stmatthews.trafford.sch.uk/,M32 9AN,-2.3158697175892327,53.440357310716
Bowdon CofE Primary School,358,3301,106338,Local authority maintained schools,Mixed,4,11,630,Not applicable,Church of England,Not applicable,NA,3.7,Outstanding,www.bowdoncs.org.uk/,WA14 3EX,-2.3563095762933837,53.372550325557995
St Hugh's Catholic Primary School,358,3304,106340,Local authority maintained schools,Mixed,3,11,682,NA,Roman Catholic,Not applicable,NA,7.8,Outstanding,www.sthughstimperley.org,WA15 6TQ,-2.335110234118457,53.40229218764538
