site_id,site_name,facility_type,access_type,pitches_on_site,artificial_sports_lighting_pitches,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1002636,Ashton On Mersey Health And Fitness Centre,Grass pitches,Pay and Play,4,0,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002640,Sale Grammar School,Grass pitches,Sports Club / Community Association,4,0,Marsland Road,Sale,M33 3NH,0161 973 3217,facilitesmanager@salegrammar.co.uk,http://www.salegrammar.co.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001273,E01006162,E00031226,-2.315028,53.41813,2025-06-02
1008949,Altrincham College,Grass pitches,Private Use,1,0,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1011521,Crossford Bridge,Grass pitches,Sports Club / Community Association,11,0,Danefield Road,Sale,M33 7WR,0161 905 3088,office@saleunitedfc.co.uk,NA,No,Yes,Yes,Yes,125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001270,E01006165,E00031230,-2.314497,53.43332,2024-08-02
1036698,Sale F.c. (Rugby Football Club),Grass pitches,Sports Club / Community Association,1,1,Heywood Road,Sale,M33 3WB,0161 610 0400,secretary@salefc.com,https://www.salefc.com/,No,Yes,No,Yes,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015243,Brooklands,E02001273,E01006097,E00030892,-2.322238,53.41655,2025-06-10
1040630,Barton Clough Playing Fields,Grass pitches,Pay and Play,4,0,Barton Road,Manchester,M32 9TR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,Yes,Yes,40,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015251,Lostock & Barton,E02001266,E01006158,E00031181,-2.336221,53.45759,2025-05-20
1040630,Barton Clough Playing Fields,Grass pitches,Sports Club / Community Association,1,0,Barton Road,Manchester,M32 9TR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,Yes,Yes,40,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015251,Lostock & Barton,E02001266,E01006158,E00031181,-2.336221,53.45759,2025-05-20
1040635,Seymour Park,Grass pitches,Pay and Play,1,0,Seymour Grove,Old Trafford,M16 9QE,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015253,Old Trafford,E02001259,E01006188,E00031376,-2.273463,53.45931,2025-05-20
1040636,Nansen Park,Grass pitches,Sports Club / Community Association,1,0,Nansen Close,Manchester,M32 0PX,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031350,-2.299092,53.45831,2025-05-21
1040637,Highfield Park (Stretford),Grass pitches,Sports Club / Community Association,4,0,Highfield Close,Stretford,M32 8NE,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006144,E00031136,-2.311381,53.43996,2025-05-20
1040638,St Brides Park,Grass pitches,Sports Club / Community Association,2,0,Clifton Street,Manchester,M16 9GN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,Yes,No,No,No,NA,E05015253,Old Trafford,E02001259,E01006112,E00030962,-2.262072,53.4622,2025-05-20
1040932,Flixton Cricket And Sports Club,Grass pitches,Sports Club / Community Association,1,0,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1041685,Trafford Mv Rfcc,Grass pitches,Sports Club / Community Association,6,1,Finny Bank Road,Sale,M33 6LR,01619737061,secretary@tmvrfcc.co.uk,http://www.traffordmvrfcc.rfu.club,No,Yes,No,Yes,92,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps available,E05015240,Ashton upon Mersey,E02001270,E01006154,E00031152,-2.33036,53.4335,2025-02-18
1041687,Bowdon Vale Cricket Club,Grass pitches,Sports Club / Community Association,1,0,Priory Street,Bowdon,WA14 3BH,07876 181578,admin@bowdonvalecc.org.uk,http://www.bowdonvalecc.org.uk,No,No,No,Yes,15,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030818,-2.361709,53.36967,2025-08-09
