Stations,SiteID,SiteName,ThoroughfareName,PostTown,PostCode,Latitude,Longitude,TelNumber,Email,Website,CarParkExist,NumCarPark,CyclePark,NurseryFlag,FirstAid,DisabilityExist,DisabilityNotes,RecLastChkdDate
100,1000345,Dw Fitness (Brooklands),Whitehall Road,Sale,M33 3NL,53.414627,-2.31774,0161 972 8999,bucklandshcmgr@dwsports.com,http://www.dwfitness.com,Yes,180,Yes,No,No,Yes,NA,20-02-2018
360,1001039,David Lloyd Club (Manchester),Barton Embankment,Manchester,M17 8RH,53.469923,-2.35997,0161 749 2000,mship.manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,359,Yes,Yes,No,Yes,NA,30-05-2018
85,1002524,Stretford Sports Village (Chester Centre),Great Stone Road,Manchester,M32 0ZS,53.458337,-2.292846,0161 875 1414,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,120,Yes,No,Yes,Yes,NA,18-09-2018
55,1002635,Altrincham Leisure Centre,Oakfield Road,Altrincham,WA15 8EW,53.388213,-2.34572,0161 926 3255,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,5,Yes,No,Yes,Yes,Pool Hoist,10-09-2018
41,1002636,Ashton On Mersey Health & Fitness Centre,Cecil Avenue,Sale,M33 5BP,53.419491,-2.340015,0161 976 5970,info@aomfitness.co.uk,http://www.aomfitness.co.uk,Yes,80,Yes,No,No,Yes,NA,11-09-2018
38,1002638,George H Carnall Leisure Centre,Kingsway Park,Manchester,M41 7FJ,53.457756,-2.342972,0161 749 2555,admin.carnall@trafford.co.uk,http://www.traffordleisure.co.uk/centres/george-h-carnall/,Yes,350,Yes,No,No,Yes,IFI accredited,02-01-2018
40,1002639,Partington Sports Village,Chapel Lane,Manchester,M31 4ES,53.413337,-2.428383,0161 777 4222,kelly.cooke@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,25,No,No,Yes,Yes,Hoist,30-01-2018
54,1002641,Sale Leisure Centre,Broad Road,Sale,M33 2AL,53.424654,-2.315949,0161 905 5588,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,120,Yes,No,Yes,Yes,"DDA Compliant, lift, pool hoist",01-02-2018
40,1002642,Urmston Leisure Centre,Bowfell Road,Manchester,M41 5RR,53.45041,-2.37092,0161 749 2570,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk/centres/urmston/,Yes,200,Yes,No,Yes,Yes,Parking: 4 Bays,26-03-2018
35,1002643,Walton Park Sports Centre,Raglan Road,Sale,M33 4AW,53.414507,-2.329781,0161 962 0159,centremanager@wpifc.org.uk,http://www.wpifc.org.uk,Yes,100,Yes,No,No,Yes,NA,05-06-2018
63,1002818,Paramount Sports And Fitness,Higher Road,Manchester,M41 9AP,53.448442,-2.349838,0161 747 2525,info@paramount-fitness.co.uk,http://www.paramount-fitness.co.uk,Yes,8,No,No,No,No,NA,09-05-2018
66,1002890,Marriott Leisure Club (Manchester Airport),Hale Road,Altrincham,WA15 8XW,53.364216,-2.297829,0161 904 5050,mhrs.manap.leisure@marriotthotels.com,http://www.marriottleisure.co.uk,Yes,100,Yes,No,No,Yes,NA,14-02-2018
215,1003272,Dw Sports Fitness (Trafford),Trafford Way,Manchester,M17 8DD,53.468519,-2.365048,0161 772 7413,info@dwfitnessclubs.com,http://www.dwfitnessclubs.com,Yes,200,Yes,No,No,Yes,NA,02-02-2018
200,1007859,Total Fitness (Altrincham),Lloyd Street,Altrincham,WA14 2SU,53.383761,-2.350748,0161 925 4500,NA,http://www.totalfitness.co.uk,Yes,500,No,No,No,Yes,NA,08-08-2018
