site_id,site_name,facility_type,access_type,courts_on_site,artificial_sports_lighting_courts,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1001039,David Lloyd (Manchester Trafford City),Outdoor tennis courts,Registered Membership use,4,1,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1002636,Ashton On Mersey Health And Fitness Centre,Outdoor tennis courts,Pay and Play,4,0,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002639,Partington Sports Village,Outdoor tennis courts,Pay and Play,4,1,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1037888,Hale Country Club And Spa,Outdoor tennis courts,Registered Membership use,3,0,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1040932,Flixton Cricket And Sports Club,Outdoor tennis courts,Sports Club / Community Association,4,0,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1042903,Abbotsfield Park,Outdoor tennis courts,Free Public Access,3,0,Lime Avenue,Flixton,M41 5DE,0333 003 5865,NA,https://traffordleisure.co.uk/,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015259,Urmston,E02001268,E01006197,E00031418,-2.367051,53.44766,2025-03-28
1043161,Longford Park (Stretford),Outdoor tennis courts,Pay and Play,6,0,Edge Lane,Manchester,M32 8QD,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006142,E00031108,-2.292938,53.44454,2025-07-09
1043162,Davyhulme Park,Outdoor tennis courts,Free Public Access,3,0,Canterbury Road,Manchester,M41 0RX,NA,NA,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/Parks-in-Trafford.aspx?Id=56899990-03ea-4c29-8dd2-b7dbc26aecaa,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015259,Urmston,E02001260,E01006117,E00031006,-2.35121,53.45405,2025-01-10
1043164,Pickering Lodge,Outdoor tennis courts,Free Public Access,3,0,Moss Lane,Altrincham,WA15 6LE,07912 280894,NA,http://trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/parks-in-trafford/pickering-lodge.aspx,No,No,No,Yes,10,No,No,No,Yes,No,No,No,No,No,No,NA,E05015258,Timperley North,E02001281,E01006191,E00031405,-2.334236,53.39822,2025-05-20
1043165,John Leigh Park,Outdoor tennis courts,Free Public Access,3,0,The Mount,Altrincham,WA14 4DX,NA,NA,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/Parks-in-Trafford.aspx?Id=1811a239-de6a-4989-9b98-df64ee759a07,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030808,-2.355018,53.39182,2025-01-10
