site_id,site_name,facility_type,access_type,bike_stations,partitionable_spaces,floor_matting,moveable_balance_apparatus,moveable_large_apparatus,moveable_rebound_apparatus,moveable_trampolines,small_apparatus,swinging_and_hanging_apparatus,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1001039,David Lloyd (Manchester Trafford City),Studios,Registered Membership use,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1002635,Move Altrincham,Studios,Pay and Play,25,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Oakfield Road,Altrincham,WA15 8EW,0161 926 3255,info@traffordleisure.co.uk,https://twmove.co.uk/centres/move-altrincham/,No,No,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pool Hoist,E05015239,Altrincham,E02001282,E01006194,E00031382,-2.345719,53.38823,2025-05-08
1002636,Ashton On Mersey Health And Fitness Centre,Studios,Pay and Play,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002638,Beactive Urmston,Studios,Pay and Play,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002639,Partington Sports Village,Studios,Pay and Play,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Chapel Lane,Manchester,M31 4ES,0161 777 4222,NA,https://traffordleisure.co.uk/centres/partington/,No,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hoist,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.428382,53.41335,2024-08-02
1002641,Sale Leisure Centre,Studios,Pay and Play,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Broad Road,Sale,M33 2AL,0161 905 5588,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,Yes,Yes,Yes,120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DDA Compliant, lift, pool hoist",E05015254,Sale Central,E02001273,E01006161,E00031211,-2.315949,53.42467,2024-08-02
1002642,Move Urmston,Studios,Pay and Play,30,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Bowfell Road,Manchester,M41 5RR,0161 749 2570,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk/centres/urmston/,No,No,Yes,Yes,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Parking: 5 Bays,E05015246,Flixton,E02001268,E01006129,E00031044,-2.370919,53.45042,2025-05-28
1002818,Meritor Urmston The M41 Gym,Studios,Registered Membership use,0,0,No,No,No,No,No,No,No,Higher Road,Manchester,M41 9AP,07401 454245,info@m41gym.co.uk,https://www.m41gym.co.uk/,No,No,No,Yes,8,No,No,No,No,No,No,No,No,No,No,NA,E05015259,Urmston,E02001267,E01006198,E00031417,-2.349837,53.44846,2024-10-30
1002890,Marriott Leisure Club (Manchester Airport),Studios,Registered Membership use,11,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Hale Road,Altrincham,WA15 8XW,0161 904 5050,laura.yates@deltahotels.com,https://www.marriottlifestyle.co.uk/find-a-club,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006137,E00031071,-2.297828,53.36423,2024-10-15
1007859,Total Fitness (Altrincham),Studios,Registered Membership use,30,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Lloyd Street,Altrincham,WA14 2SU,0161 925 4500,NA,https://www.totalfitness.co.uk/clubs/altrincham/,No,No,No,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006076,E00030786,-2.350747,53.38378,2025-04-25
