featureNum,Club,Category,Address,Postcode
29,ABC Partington Badminton,Badminton,"Moss Lane, Partington",M31 4FA
30,Acre Gate Golf Club,Golf,"Pennybridge Lane, Urmston",M41 5DX
31,AFC Sale,Athletic,"Crossford Bridge Pavillion, Danefield Road, Sale",M33 7WR
32,Altrincham Aces,Ice Hockey,"Oakfield Road, Station Site, Altrincham",WA15 8EW
34,Altrincham and District Athletic Club,Athletic,"227-229 Grove Lane, Altrincham",WA15 7UF
35,Altrincham and District Badminton Club,Badminton,"Marlborough Road, Altrincham",WA14 2RS
36,Altrincham Borough Bowling Club,Bowling,"Willow Tree Road, Altrincham",WA14 2EG
37,Altrincham Golf Club,Golf,"Stockport Road, Altrincham",WA15 7LP
38,Altrincham Judo Club,Martial Arts,"Oakfield Road, Altrincham",WA15 8EW
39,Altrincham Karate Club,Martial Arts,"25 Market Street, Altrincham",WA14 1PF
40,Altrincham Kersal R.F.C.,Rugby,"Stelfox Avenue, Altrincham",WA15 6UL
41,Altrincham Life Saving and Water Safety Club,Swimming,"Oakfield Road, Altrincham",WA15 8EW
42,Altrincham Swimming Club,Swimming,"Oakfield Road, Altrincham",WA15 8EW
43,Altrincham Tae Kwon-Do,Martial Arts,"Marlborough Road, Altrincham",WA14 2RS
44,Blue Triangle Badminton Club,Badminton,"Marlborough Road, Altrincham",WA14 2RS
45,Lostock Badminton Club,Badminton,"Marlborough Road, Altrincham",WA14 2RS
46,Atlantic Badminton Club,Badminton,"Marlborough Road, Altrincham",WA14 2RS
47,Trafford Aikido Club,Martial Arts,"Oakfield Road, Altrincham",WA15 8EW
48,Altrincham Football Club,Football,"Moss Lane, Altrincham",WA15 8AP
49,Ashton Cricket Club,Cricket,"Little Ees Lane, Sale",M33 5GT
50,Ashton Ladies Bowling Club,Bowling,"Glebelands Road, Sale",M33 5QU
51,Ashton on Mersey  RUFC,Rugby,"Banky Lane, Sale",M33 5SL
52,Ashton on Mersey Cricket and Tennis Club,"Cricket, Tennis","Little Ees Lane, Sale",M33 5GT
53,Ashton on Mersey Golf Club,Golf,"Church Lane, Sale",M33 5QQ
55,Ashton on Mersey Junior Football Club,Football,"Dumber Lane, Sale",M33 5QX
56,Ashton Park Veterans Bowling Club,Bowling,"Glebelands Road, Sale",M33 5QU
57,Atlantic Judo/Ju-jitsu Club,Martial Arts,"Brook Close, Altrincham",WA15 6RH
58,Avenue Methodist Church Badminton,Badminton,"Wincham Road, Sale",M33 4PL
59,Bowdon Bowling and Lawn Tennis Club,"Bowling, Tennis","Winton Road, Altrincham",WA14 2PD
60,"Bowdon Cricket, Hockey and Squash Club",Multi Sports,"South Downs Road, Altrincham",WA14 3DT
61,Bowdon Croquet Club,Croquet,"St Mary's Road, Altrincham",WA14 2PL
62,Bowdon Lawn Tennis Club,Tennis,"Green Walk, Altrincham",WA14 2SJ
63,Bowdon RUFC,Rugby,"Clay Lane, Altrincham",WA15 7AF
64,Bowdon Vale Bowling Club,Bowling,"Priory Street, Altrincham",WA14 3BH
65,Broadheath Central FC,Football,"Viaduct Road, Altrincham",WA14 5DX
66,Brooklands Football Club,Football,"Budworth Road, Sale",M33 2RP
68,Brooklands Sports Club,Multi Sports,"George's Road, Sale",M33 3NL
69,Brownley Albion,Football,"Beech Avenue, Altrincham",WA16 6JS
70,Bucklow Trafford Riding Club,Riding,"Dairy House Lane, Stretford",WA14 5RE
71,Carrington Riding Centre,Riding,"Isherwood Road, Urmston",M31 4BH
72,Cheshire Jet Ski Club,Water Sports,"Rifle Road, Sale",M33 2LX
73,Cho Ja Martial Arts Club,Martial Arts,"15 Wycliffe Road, Urmston",M41 5AH
74,Chorlton Villa,Football,"Brookburn Road, Stretford",M21 8FE
75,Claremont Tennis Club,Tennis,"Claremont Avenue, Altrincham",WA14 5ND
76,Darley Lawn Tennis and Social Club,Tennis,"Wood Road North, Urmston",M16 9QG
77,Davyhulme Park Bowling Club,Bowling,"Crofts Bank Road, Stretford",M41 0US
78,Davyhulme Park Golf Club,Golf,"Gleneagles Road, Urmston",M41 8SA
79,Dunham Forest Golf Club,Golf,"Oldfield Lane, Altrincham",WA14 4TY
80,Flixton Cricket and Sports Club,Cricket,"Lawrence Rd, Urmston",M41 8UU
81,Flixton Football Club,Football,"Vally Road, Urmston",M41 8RQ
82,Flixton Golf Club,Golf,"269 Church Road, Urmston",M41 6EP
83,Flixton Junior Football Club,Football,"91 Irlam Road, Urmston",M41 6DU
84,Flixton Swim Team,Swimming,"63 Chassen Road, Urmston",M41 9EY
86,Gendai Karate,Martial Arts,"Partington Central Road, Partington",M31 4EQ
87,Golden Hill Ladies Bowling Club,Bowling,"Winifred Road, Urmston",M41 5FT
88,Golden Hill Mens Bowling Club,Bowling,"Winifred Road, Urmston",M41 5FT
89,Hale Barns Cricket Club,Cricket,"Brooks Drive, Altrincham",WA15 8TN
90,Hale Barns Tennis Club,Tennis,"Chapel Lane, Altrincham",WA15 0AQ
91,Hale Barns United Junior Football Club,Football,"1 Peter Street, Altrincham",WA14 2DZ
92,Hale Golf Club,Golf,"Rappax Road, Altrincham",WA15 0NU
93,Hale Ladies Bowling Club,Bowling,"Stamford Park Road, Altrincham",WA15 9EL
94,Hale Moss Bowling Club,Bowling,"Stamford Park Road, Altrincham",WA15 9EL
95,Hale Lawn Tennis Club,Tennis,"Park Avenue, Altrincham",WA15 9DL
96,Hale Veterans' Bowling Club,Bowling,"Ashley Road, Altrincham",WA14 2LX
97,Hale Village Tennis Club,Tennis,"23 Leigh Road, Altrincham",WA15 9BJ
98,Heyes Grove Tennis Club,Tennis,"Stoney Bridge Lane, Stretford",WA15 6PG
99,Humphrey Park Ladies Bowling Club,Bowling,"Humphrey Lane, Urmston",M41 9PT
100,Ju Jitsu Club,Martial Arts,"5 Dovestone Road, Sale",M33 6LE
101,T50 Gymnsatics,Gymnastics,"Raglan Road, Sale",M33 4AN
102,Legh Arms Bowling Club,Bowling,"178 Northenden Road, Sale",M33 2SR
103,Longford Park Bowling Club,Bowling,"Cromwell Road, Stretford",M32 8QL
104,Longhey Athletic Junior Football Club,Football,"118 Grove Road, Altrincham",WA15 6PL
105,Manchester Korfball Club,"Netball, Basketball","Broad Road, Sale",M33 2AL
106,Mersey Valley Sports and Social Club,Multi Sports,"Banky Lane, Sale",M33 5SL
107,Montell Carrington RUFC,Rugby,"Mancheter Road, Partington",M31 4BD
109,Navigation Veterans Bowling Club,Bowling,"Navigation Road, Altrincham",WA14 1LJ
110,Norris Road Veterans Bowling Club,Bowling,"Moor Nook Park, Norris Road, Sale",M33 2TN
111,NW Chinese Kick Boxing,Martial Arts,"543 Wilbraham Road, Stretford",M21 0AZ
112,Old Stretfordians Amateur Football Club,Football,Urmston,M41 5GJ
113,Old Trafford Bowling Club,Bowling,"49A Talbot Road, Sale",M16 0PW
114,Manchester United Football Club,Football,"Sir Matt Busby Way, Stretford",M16 0RA
115,Oldfield Table Tennis Club,Tennis,"Shay Lane, Altrincham",WA15 8NZ
116,Partington Netball Club,Netball,"Chapel Lane, Partington",M31 4ES
117,Partington Trampolining Club,Trampoline,"Chapel Lane, Partington",M31 4ES
118,Partington Village Junior Football Club,Football,"Chapel Lane, Partington",M31 4ES
119,Pyramid Ventura Badminton Club,Badminton,"Cecil Avenue, Sale",M33 5BP
120,"Quadrant, Urmston Football Club",Football,"Audley Avenue, Sale",M32 9TG
121,Riddings Bowling Club,Bowling,"Riddings Road, Stretford",WA15 6BW
122,Ringway Golf Club Ltd.,Golf,"Hale Road, Sale",WA15 8SW
124,Sailfin Swimming Club for People with Disabilities,Swimming,"Broad Road, Altrincham",M33 2AL
125,Sale Amateur Football Club,Football,"Heywood Road, Sale",M33 3WB
