name,area_code,area_name,long,lat
Altrincham Interchange,E05000819,Altrincham,-2.3471588562402355,53.387651253781314
Chassen Road,E05000838,Urmston,-2.3681727538391737,53.44617585532639
Flixton,E05000828,Flixton,-2.383508366742162,53.443772578726694
Hale,E05000831,Hale Central,-2.347490240675866,53.378499863566454
Humphrey Park,E05000836,Stretford,-2.3277185594666907,53.45225315327865
Manchester United Football Ground,E05000829,Gorse Hill,-2.2907280340925724,53.46218239173471
Navigation Road,E05000819,Altrincham,-2.343329535875281,53.39570714621604
Trafford Park,E05000829,Gorse Hill,-2.3116999269243546,53.45476789316516
Urmston,E05000838,Urmston,-2.353796483949151,53.44826871078196
Altrincham,E05000819,Altrincham,-2.3472773803000804,53.38743518188233
Brooklands,E05000823,Brooklands,-2.3261088253343813,53.41708537864699
Dane Road,E05000833,Priory,-2.311325036389838,53.43029310165637
Firswood,E05000832,Longford,-2.2777187251438935,53.451274357493034
Navigation Road,E05000819,Altrincham,-2.343329535875281,53.39570714621604
Old Trafford,E05000832,Longford,-2.2845593115458582,53.4564176496119
Pomona,E05000825,Clifford,-2.277960240006187,53.46518799241665
Stretford,E05000832,Longford,-2.3037919777990017,53.446069416895085
Sale,E05000833,Priory,-2.3188514675407204,53.42442168225355
Sale Water Park,E05000835,Sale Moor,-2.2908271013418804,53.42821452578761
Timperley,E05000822,Broadheath,-2.338256238005921,53.40450350076968
Trafford Bar,E05000832,Longford,-2.277049638743866,53.46182841336489
